Route 71

StopNumber,x,y
0,77,418
1,110,427
2,129,436
3,156,435
4,184,437
5,202,437
6,238,439
7,254,443
8,273,450
9,294,454
10,305,446
11,316,443
12,336,423
13,357,402
14,376,384
15,388,376
16,410,372
17,428,372
18,448,369
19,467,369
20,476,367
21,499,358
22,520,349
23,542,338
24,559,330
25,576,327
26,593,325
27,612,319
28,627,301
29,639,284
30,649,264
31,651,246
32,639,227
33,634,211
34,636,182
35,637,153
36,639,120
37,640,88
38,662,92
39,683,95
40,723,101
41,761,107
42,790,110
43,822,109
44,855,106
45,885,96
46,918,86
47,941,77
48,966,53
49,986,33

Route 61

StopNumber,x,y
0,77,418
1,110,427
2,129,436
3,156,435
4,184,437
5,202,437
6,238,439
7,254,443
8,273,450
9,308,459
10,328,440
11,343,426
12,362,407
13,379,401
14,397,396
15,420,394
16,443,393
17,462,399
18,474,418
19,486,436
20,493,444
21,508,443
22,528,443
23,551,442
24,572,442
25,575,458
26,577,478
27,582,500
28,578,517
29,573,529
